entry_date,exit_date,code,entry_price,exit_price,gross_return,net_return,score,factors,exit_reason,industry,holding_days
2024-06-13,2024-06-13,000034,28.81,28.22,-2.07,-2.27,55.1574430907973,"{'trend': 0.5540477853097452, 'momentum': 0.2069285900688604, 'quality': -0.2469669848434275, 'sentiment': 1.0151856210849348, 'valuation': 0.502630154687869, 'liquidity': 0.1630392700851705, 'size': 0.14151517467837035}",T+1平仓,其他,1
2024-06-18,2024-06-18,000021,16.33,15.87,-2.78,-2.98,62.856746250738645,"{'trend': 2.626269927678501, 'momentum': 2.65149577933203, 'quality': -0.3096543160040763, 'sentiment': -1.6131302109829457, 'valuation': 0.7613968356110518, 'liquidity': 2.464490415940769, 'size': -0.9595124220176329}",T+1平仓,其他,1
2024-06-21,2024-06-21,000030,5.41,5.36,-0.9,-1.1,56.932601233037815,"{'trend': 0.5017612873946165, 'momentum': 0.4166028413704396, 'quality': -0.307342631248191, 'sentiment': 1.637971564625297, 'valuation': 0.9929807101044227, 'liquidity': -0.6385442577492016, 'size': 0.6019223523604107}",T+1平仓,其他,1
2024-06-24,2024-06-24,000021,15.28,14.64,-4.18,-4.38,63.68913162797689,"{'trend': 2.4963331582088917, 'momentum': 2.559516909301533, 'quality': -0.31659667005903835, 'sentiment': 0.3048557107182134, 'valuation': 0.8970530321187447, 'liquidity': 1.0369290944512577, 'size': -1.0941918859641029}",T+1平仓,其他,1
2024-06-28,2024-06-28,000021,14.65,14.95,2.08,1.88,68.19159083013463,"{'trend': 2.4915001245473576, 'momentum': 2.6055003320269634, 'quality': -0.33745254549215065, 'sentiment': 2.303340090447664, 'valuation': 0.48667691468965946, 'liquidity': 1.9567932790596567, 'size': -0.6924292016553103}",T+1平仓,其他,1
2024-07-02,2024-07-02,000021,15.1,14.49,-4.07,-4.27,60.3719506925338,"{'trend': 2.7500769394203233, 'momentum': 2.7079595652943156, 'quality': -0.306579485129948, 'sentiment': -1.6088299834894184, 'valuation': 0.4036801945335383, 'liquidity': 1.6756185274162283, 'size': -0.3199713479939333}",T+1平仓,其他,1
2024-07-05,2024-07-05,000007,5.07,5.14,1.53,1.33,58.43515361408181,"{'trend': 1.495836540719057, 'momentum': 2.0468515139092784, 'quality': -0.24379566232869404, 'sentiment': -0.24977294640714953, 'valuation': -0.03886845526288835, 'liquidity': 2.1702082547268193, 'size': -0.8337632988085183}",T+1平仓,其他,1
2024-07-08,2024-07-08,000021,14.36,13.98,-2.59,-2.79,57.42538504251347,"{'trend': 1.5695557843606818, 'momentum': 0.5150511973550931, 'quality': -0.3634000222263995, 'sentiment': 0.42164251320163665, 'valuation': 0.7422111716017395, 'liquidity': 0.2257544803785018, 'size': 0.36313666677330536}",T+1平仓,其他,1
2024-07-09,2024-07-09,000007,5.45,5.35,-1.81,-2.01,58.500201048024635,"{'trend': 2.1359738313328793, 'momentum': 2.4510677525087092, 'quality': -0.26429403945436325, 'sentiment': -0.886420297716392, 'valuation': -0.010714970706918655, 'liquidity': 1.2225359179813124, 'size': -0.3878742813437216}",T+1平仓,其他,1
2024-07-15,2024-07-15,000007,5.22,5.21,-0.09,-0.29,60.56139071601659,"{'trend': 2.48668806582003, 'momentum': 2.304802568795876, 'quality': -0.2413306402611399, 'sentiment': 0.02676551928502235, 'valuation': -0.6187013242987943, 'liquidity': 1.4795778966164224, 'size': -0.22678206644017213}",T+1平仓,其他,1
